RTlexdec,RTnaming,Word,Familiarity,AgeSubject,WordCategory,WrittenFrequency,WrittenSpokenFrequencyRatio,FamilySize,DerivationalEntropy,InflectionalEntropy,NumberSimplexSynsets,NumberComplexSynsets,LengthInLetters,Ncount,MeanBigramFrequency,FrequencyInitialDiphone,ConspelV,ConspelN,ConphonV,ConphonN,ConfriendsV,ConfriendsN,ConffV,ConffN,ConfbV,ConfbN,NounFrequency,VerbFrequency,CV,Obstruent,Frication,Voice,FrequencyInitialDiphoneWord,FrequencyInitialDiphoneSyllable,CorrectLexdec
6.54375356,6.145043635,doe,2.37,young,N,3.912023005,1.021651248,1.386294361,0.14144,0.02114,0.693147181,0,3,8,7.036333,12.02268,10,3.737669618,41,8.837826364,8,3.295836866,0.693147181,2.708050201,3.496507561,8.833899943,49,0,C,obst,burst,voiced,10.12930752,10.40976284,27
6.304942282,6.143756357,stress,5.6,young,N,6.50578406,2.089355999,1.609437912,0.06197,1.44339,2.48490665,1.945910149,6,0,9.883931,13.30069,10,6.693323668,13,7.04053639,10,6.693323668,0,0,1.386294361,5.81711116,565,473,C,obst,frication,voiceless,12.42202641,13.1273947,30
6.424220515,6.131878451,pork,3.87,young,N,5.017279837,-0.526333886,1.945910149,0.43035,0,1.098612289,2.63905733,4,8,8.30918,12.07807,5,6.677083461,6,3.828641396,4,3.526360525,0.693147181,6.634633358,1.098612289,2.564949357,150,0,C,obst,burst,voiceless,10.04815051,11.00364864,30
6.450596796,6.198478716,plug,3.93,young,N,4.890349128,-1.044545067,2.197224577,0.3592,1.75393,2.48490665,2.48490665,4,3,7.943717,11.92678,17,4.762173935,17,4.762173935,17,4.762173935,0,0,0,0,170,120,C,obst,burst,voiceless,11.79633593,12.16309207,26
6.531970325,6.167726113,prop,3.27,young,N,4.770684624,0.924801422,1.386294361,0.06268,1.7473,1.609437912,1.386294361,4,9,8.34962,12.19724,19,6.234410726,21,6.249975242,19,6.234410726,0,0,1.098612289,2.197224577,125,280,C,obst,burst,voiceless,11.99156668,12.43677158,28
6.37058568,6.123807734,dawn,3.73,young,N,6.383506635,-0.015421023,1.098612289,0,0.77898,1.791759469,1.098612289,4,6,7.699792,11.32815,10,4.779123493,13,8.864322723,10,4.779123493,0,0,1.386294361,8.847503626,582,110,C,obst,burst,voiced,9.408125089,9.772410289,30
6.266858934,6.096049762,dog,5.67,young,N,7.159291905,-1.048218974,3.688879454,1.03052,1.05129,2.079441542,4.465908119,3,13,7.139341,12.02268,13,4.795790546,7,4.770684624,6,3.761200116,1.945910149,1.386294361,0,0,2061,76,C,obst,burst,voiced,9.755335512,10.25502432,28
6.608648189,6.117656572,arc,3.1,young,N,4.890349128,2.916268102,1.609437912,0.15894,0.57715,1.609437912,2.079441542,3,3,7.747861,13.29079,1,3.737669618,11,6.091309882,0,0,0,0,2.397895273,5.993961427,144,4,V,cont,long,voiced,6.424869024,6.538139824,25
6.284842865,6.179188153,skirt,4.43,young,N,5.929589143,-0.078732521,1.791759469,0.06664,1.34797,1.945910149,2.079441542,5,3,8.561149,10.3889,7,4.624972813,14,5.164785974,7,4.624972813,0,0,2.079441542,4.304065093,522,86,C,obst,frication,voiceless,11.12901145,11.57856338,29
6.607163568,6.196647773,spree,3.27,young,N,3.401197382,1.427116356,0.693147181,0,0.44886,1.098612289,0,5,1,9.153887,11.50982,15,7.513709248,38,10.13281196,14,7.513709248,0.693147181,0,3.218875825,10.05719528,32,0,C,obst,frication,voiceless,12.0300512,12.4928443,24
6.414392947,6.184561177,are,6.73,young,N,11.2796937,0.284135205,2.708050201,1.91032,0.00022,0.693147181,0,3,9,8.369135,13.29079,21,8.510369966,15,8.571491965,0,0,3.044522438,6.350885717,2.708050201,6.786716951,1,0,V,cont,long,voiced,9.286096984,9.312264992,23
6.633581557,6.197868774,sprig,1.72,young,N,3.526360525,2.245426679,1.098612289,0.50326,0.89604,1.098612289,0,5,1,8.913321,11.50982,16,6.190315406,15,6.188264123,15,6.188264123,0.693147181,0.693147181,0,0,48,0,C,obst,frication,voiceless,12.0300512,12.4928443,15
6.333155286,6.143112097,pipe,3.3,young,N,5.998936562,0.335976082,3.135494216,1.33777,1.3377,2.302585093,3.850147602,4,6,7.912189,11.17479,8,3.951243719,9,5.529429088,8,3.951243719,0,0,0.693147181,5.303304908,558,73,C,obst,burst,voiceless,9.223355309,9.647239546,29
6.472129888,6.225943608,hooch,2.23,young,N,1.945910149,-0.028170877,0.693147181,0,0,0.693147181,0,5,2,8.930248,12.69734,0,0,0,0,0,0,0,0,0,0,6,0,C,obst,frication,voiceless,11.461769,11.84104866,21
6.325970566,6.15634319,guard,4.33,young,N,6.59441346,1.552279499,3.17805383,1.50704,1.58535,2.63905733,3.401197382,5,0,8.44458,10.6147,1,3.891820298,14,5.811140993,1,3.891820298,0,0,2.63905733,5.655991811,935,329,C,obst,burst,voiced,8.969414651,9.696340374,29
6.47245448,6.129703591,tile,3.8,young,N,4.077537444,-0.669132304,1.791759469,0.118,1.61022,1.386294361,1.791759469,4,13,8.942925,13.2514,11,6.821107472,19,6.937314081,11,6.821107472,0,0,2.197224577,4.736198448,174,60,C,obst,burst,voiceless,11.07081712,11.42484807,27
6.44974346,6.165837934,slope,4.1,young,N,5.802118375,1.813134329,1.098612289,0,1.60693,1.386294361,1.386294361,5,1,8.733826,10.60569,13,5.723585102,15,5.793013608,13,5.723585102,0,0,1.098612289,3.135494216,464,143,C,obst,frication,voiceless,10.08008442,10.22168671,28
6.388208402,6.149536102,pile,4.66,young,N,6.161207322,0.347673983,2.197224577,0.29719,1.65206,2.302585093,2.564949357,4,14,8.334696,11.17479,11,6.821107472,19,6.937314081,11,6.821107472,0,0,2.197224577,4.736198448,532,371,C,obst,burst,voiceless,9.223355309,9.647239546,29
6.375876246,6.179602489,greed,4.13,young,N,5.030437921,1.351608803,1.945910149,0.9975,0,1.098612289,0,5,4,9.137255,11.50271,16,6.519147288,24,6.760414691,16,6.519147288,0,0,2.197224577,5.225746674,152,0,C,obst,burst,voiced,11.31994733,11.7487167,30
6.424334035,6.209394531,plum,3.4,young,N,3.970291914,-0.35516437,1.386294361,0.29338,0.99901,1.098612289,3.988984047,4,4,7.852441,11.92678,15,4.59511985,23,8.817594036,15,4.59511985,0,0,2.197224577,8.802973457,108,0,C,obst,burst,voiceless,11.79633593,12.16309207,27
6.545148491,6.159729437,pith,1.97,young,N,2.48490665,1.203972804,1.609437912,0.96662,0,0.693147181,1.098612289,4,2,8.764146,11.17479,4,8.902047346,6,8.906799884,4,8.902047346,0,0,1.098612289,3.583518938,11,0,C,obst,burst,voiceless,11.31029507,11.73432349,7
6.65544035,6.214007918,whorl,1.44,young,N,0.693147181,-0.587786665,1.098612289,1,0.54356,1.386294361,0,5,1,9.118241,12.5978,1,0,1,0,0,0,0,0,0,0,8,0,C,cont,short,voiced,10.94457665,11.0729776,11
6.393590754,6.149109116,tide,3.28,young,N,6.084499413,1.584689743,2.708050201,1.10931,0.71751,1.945910149,2.397895273,4,11,8.864618,13.2514,13,6.558197803,27,7.033506484,13,6.558197803,0,0,2.708050201,6.063785209,546,0,C,obst,burst,voiceless,11.07081712,11.42484807,29
6.298820562,6.112575373,jet,3.67,young,N,5.407171771,1.487180596,2.079441542,0.32577,1.11657,2.079441542,2.302585093,3,10,6.631623,9.70814,13,7.716906135,18,7.752335163,12,7.70391021,0,0,1.791759469,4.406719247,337,10,C,obst,frication,voiced,9.98681716,11.04818795,27
6.509648035,6.151668299,blitz,2.83,young,N,4.189654742,1.299282984,1.098612289,0,0.99616,1.386294361,1.098612289,5,0,8.259939,11.84506,1,1.386294361,10,7.546446274,1,1.386294361,0,0,2.302585093,7.544861069,65,27,C,obst,burst,voiced,10.99988071,11.70969219,27
6.324914364,6.106800146,weed,4.13,young,N,5.123963979,0.377294231,2.48490665,1.30404,1.54592,1.098612289,3.583518938,4,9,8.750966,12.52566,16,6.519147288,24,6.760414691,16,6.519147288,0,0,2.197224577,5.225746674,358,81,C,cont,short,voiced,11.33643885,11.34901734,29
6.566292611,6.190110467,prow,1.93,young,N,2.995732274,1.714798428,0.693147181,0,0.2864,0.693147181,0,4,8,8.462284,12.19724,28,8.227108234,17,7.705262475,12,7.69802917,2.833213344,7.33823815,1.791759469,2.833213344,20,0,C,obst,burst,voiceless,11.99156668,12.43677158,15
6.527021807,6.129703591,port,3.03,young,N,6.084499413,1.369578363,2.833213344,1.99394,0.80085,2.079441542,2.302585093,4,9,8.519622,12.07807,8,6.159095388,12,6.580639137,7,6.159095388,0.693147181,0,1.791759469,5.517452896,579,0,C,obst,burst,voiceless,10.04815051,11.00364864,28
6.381240556,6.127960292,beach,3.9,young,N,6.966967139,1.291584138,1.791759469,0.04335,0.92735,1.098612289,3.044522438,5,5,9.223267,12.85978,9,7.00488199,14,7.064759028,9,7.00488199,0,0,1.791759469,4.234106505,1449,16,C,obst,burst,voiced,13.47843654,13.48695093,29
6.368375848,6.106131622,while,6.03,young,N,9.306195858,1.033165585,1.945910149,0.48209,0,0.693147181,0.693147181,5,4,9.333076,12.5978,11,6.821107472,19,6.937314081,11,6.821107472,0,0,2.197224577,4.736198448,2861,0,C,cont,short,voiced,10.9563351,11.16600281,27
6.292365119,6.135781318,jaw,3.73,young,N,5.407171771,0.948184096,1.945910149,0.35139,1.09316,1.945910149,1.609437912,3,11,6.032764,8.49433,19,6.684611728,20,6.690842277,18,6.66440902,0,0,0.693147181,1.791759469,387,6,C,obst,frication,voiced,7.768956045,7.889084407,28
6.277038148,6.124464549,arm,5.23,young,N,7.54802897,0.891816717,3.663561646,1.72528,1.11762,2.197224577,2.564949357,3,3,7.844349,13.29079,6,5.831882477,4,5.602118821,3,5.176149733,1.098612289,4.262679877,0,0,3766,100,V,cont,long,voiced,8.939974177,8.970432074,29
6.455355784,6.153583397,plan,5.27,young,N,7.462789157,1.537464413,1.791759469,0.25135,1.94513,2.079441542,3.044522438,4,2,8.602686,11.92678,18,9.101863896,15,9.101083386,15,9.101083386,1.386294361,2.079441542,0,0,2416,3013,C,obst,burst,voiceless,11.79633593,12.16309207,30
6.349680803,6.139453425,pill,4.63,young,N,5.455321115,1.038893054,1.386294361,0.23689,0.99528,1.386294361,2.708050201,4,14,8.304366,11.17479,28,8.192847135,31,8.194229305,28,8.192847135,0,0,1.386294361,1.791759469,507,0,C,obst,burst,voiceless,11.31029507,11.73432349,29
6.472562654,6.141607206,loft,3.5,young,N,3.850147602,-0.864773448,2.079441542,1.58512,0.78574,2.079441542,1.609437912,4,3,8.256064,12.33756,3,4.17438727,3,4.17438727,3,4.17438727,0,0,0,0,53,2,C,cont,short,voiced,10.64287403,11.00381504,28
6.533730697,6.207986222,grouch,3.63,young,N,1.386294361,0.105360516,1.609437912,1,1.09646,1.098612289,0,6,1,9.333099,11.50271,7,4.700480366,6,3.135494216,6,3.135494216,0.693147181,4.477336814,0,0,4,0,C,obst,burst,voiced,11.31994733,11.7487167,27
6.542760103,6.216606101,spire,2.03,young,N,4.564348191,2.590267165,1.609437912,0.99738,0.85586,0.693147181,0,5,7,8.952497,11.50982,12,5.631211782,14,5.634789603,12,5.631211782,0,0,1.098612289,0.693147181,132,0,C,obst,frication,voiceless,12.0300512,12.4928443,25
6.376607893,6.203951518,plate,5.57,young,N,6.487684018,-0.186877373,3.33220451,0.58484,0.99811,2.772588722,3.610917913,5,4,9.226255,11.92678,19,7.307202315,31,7.865187954,19,7.307202315,0,0,2.564949357,7.016609684,995,10,C,obst,burst,voiceless,11.79633593,12.16309207,27
6.423636498,6.100094712,week,6.17,young,N,8.487558386,-0.884390501,2.772588722,0.72114,0.95122,1.386294361,1.386294361,4,8,8.100316,12.52566,10,6.118097198,32,6.49677499,10,6.118097198,0,0,3.135494216,5.347107531,7712,0,C,cont,short,voiced,11.33643885,11.34901734,25
6.355447721,6.181878274,spine,4.47,young,N,5.323009979,1.844851556,1.945910149,1.20923,0.62714,1.609437912,0,5,7,9.109736,11.50982,20,6.582025139,23,6.726233402,20,6.582025139,0,0,1.386294361,4.727387819,242,0,C,obst,frication,voiceless,12.0300512,12.4928443,29
6.333279628,6.167306825,glove,4.4,young,N,4.418840608,-0.080969063,1.791759469,0.29148,0.7877,1.386294361,2.397895273,5,3,8.595285,10.43834,17,6.359573869,4,10.50930512,3,5.497168225,2.708050201,5.814130532,0.693147181,10.50265367,348,0,C,obst,burst,voiced,9.495895183,10.00047814,26
6.363941479,6.182084907,beast,3.47,young,N,5.700443573,1.85456037,2.197224577,0.81437,0.96752,1.098612289,0.693147181,5,3,9.43884,12.85978,6,6.311734809,6,6.320768294,5,6.29156914,0.693147181,2.48490665,0.693147181,2.833213344,492,0,C,obst,burst,voiced,13.47843654,13.48695093,30
6.323121638,6.089724916,art,4.77,young,N,7.997326823,1.904208622,2.944438979,1.15037,0.08936,1.609437912,3.401197382,3,7,8.024234,13.29079,15,6.857514063,12,7.008505182,10,6.586171655,1.609437912,2.944438979,0.693147181,5.159055299,3006,0,V,cont,long,voiced,9.426741242,9.952753794,26
